"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
2,42,110,"B0BTZ4J49G",true,359,"INR",1680,1321,78.63,88,4.1,"https://www.amazon.in/dp/B0BTZ4J49G","360.80",false,false,false,false,"BLINKIN Women's Gym Wear Tights | Track Pants with Mesh Insert & Side Pockets : Ideal for Active Wear, Yoga & Workout - Th...","https://m.media-amazon.com/images/I/51abFnwSQ9L._AC_UL400_.jpg"
2,43,111,"B09GVX4XGM",true,664,"INR",2599,1935,74.45,568,3.5,"https://www.amazon.in/dp/B09GVX4XGM","1988.00",false,false,false,true,"Sun Fashion And Lifestyle woven dress material for women (Jacquard 1; Free Size)","https://m.media-amazon.com/images/I/81CzkgB1brL._AC_UL400_.jpg"
2,44,112,"B082R93PP8",true,499,"INR",1199,700,58.38,3016,3.7,"https://www.amazon.in/dp/B082R93PP8","11159.20",false,false,false,true,"Fabricorn Women's Fleece Collared Neck Sweatshirt","https://m.media-amazon.com/images/I/71JAtYR3tLL._AC_UL400_.jpg"
2,45,113,"B0BWWKVKSP",true,312,"INR",1680,1368,81.43,100,4.1,"https://www.amazon.in/dp/B0BWWKVKSP","410.00",false,false,false,false,"BLINKIN Women's Gym Wear Tights | Track Pants for Women with Side Pockets : Ideal for Yoga & Workout - The Ultimate Gym Pa...","https://m.media-amazon.com/images/I/51CYvWIjNZL._AC_UL400_.jpg"
2,46,114,"B094XG9YK3",true,779,"INR",1249,470,37.63,576,3.8,"https://www.amazon.in/dp/B094XG9YK3","2188.80",false,false,false,true,"Allen Solly Women's Regular Track Pants","https://m.media-amazon.com/images/I/51lJhdRkyES._AC_UL400_.jpg"
2,47,115,"B09D8R8MZ7",true,2247,"INR",3499,1252,35.78,16,4,"https://www.amazon.in/dp/B09D8R8MZ7","64.00",false,false,false,true,"RNG EKO GREEN Seamless Fitness/Gym/Yoga/Sports/Track Suit for Women","https://m.media-amazon.com/images/I/41xMtn-F4XL._AC_UL400_.jpg"
2,48,116,"B0BZNT6M8C",true,199,"INR",899,700,77.86,6,5,"https://www.amazon.in/dp/B0BZNT6M8C","30.00",false,false,false,false,"La Ella Women Double Sided Tape for Clothes - Fashion Body Tape with Stronghold, Invisible & Gentle on Skin and Fabric","https://m.media-amazon.com/images/I/51P74vY+sjL._AC_UL400_.jpg"
2,49,117,"B08WJF7CMD",true,244,"INR",447,203,45.41,3830,4.5,"https://www.amazon.in/dp/B08WJF7CMD","17235.00",false,false,false,false,"Masq By Q-One Floral Reusable, Washable, Anti-Bacterial (BFE>99%) 4 Layer Embroidered, Fashionable Cotton Cloth Face Mask ...","https://m.media-amazon.com/images/I/81wsHkn95gL._AC_UL400_.jpg"
2,50,118,"B0BYVB55G5",true,599,"INR",999,400,40.04,4,3.1,"https://www.amazon.in/dp/B0BYVB55G5","12.40",false,false,false,true,"ANUGRAHA Tracksuit Tiger Printed Top & Leggings Pants Full Sleeve Outfit Set for Girls Women's Yoga Track Suit Pants, Jogg...","https://m.media-amazon.com/images/I/41a3TYe5hKL._AC_UL400_.jpg"
2,51,119,"B09NZHFFBF",true,589,"INR",1499,910,60.71,3815,3.7,"https://www.amazon.in/dp/B09NZHFFBF","14115.50",false,false,false,true,"Lymio Women Dress","https://m.media-amazon.com/images/I/71U0Wo-rizL._AC_UL400_.jpg"
